      Step     Time          Energy          fmax
FIRE:    0 23:43:31    -1093.580566        0.443086
FIRE:    1 23:43:31    -1093.591064        0.608247
FIRE:    2 23:43:32    -1093.618408        0.969132
FIRE:    3 23:43:32    -1093.687988        1.687411
FIRE:    4 23:43:32    -1093.885010        3.131781
FIRE:    5 23:43:33    -1094.335815        2.871284
FIRE:    6 23:43:33    -1094.609253        0.805675
FIRE:    7 23:43:33    -1094.629395        1.112796
FIRE:    8 23:43:34    -1094.636597        0.934139
FIRE:    9 23:43:34    -1094.647217        0.619532
FIRE:   10 23:43:34    -1094.656982        0.452403
FIRE:   11 23:43:34    -1094.664917        0.616298
FIRE:   12 23:43:35    -1094.673218        0.699856
FIRE:   13 23:43:35    -1094.684814        0.658240
FIRE:   14 23:43:35    -1094.698853        0.471840
FIRE:   15 23:43:35    -1094.712402        0.260557
FIRE:   16 23:43:36    -1094.720459        0.518148
FIRE:   17 23:43:36    -1094.728882        0.805896
FIRE:   18 23:43:36    -1094.749268        0.674978
FIRE:   19 23:43:37    -1094.776245        0.454362
FIRE:   20 23:43:37    -1094.802734        0.673465
FIRE:   21 23:43:37    -1094.844849        0.483541
FIRE:   22 23:43:37    -1094.886475        0.586661
FIRE:   23 23:43:38    -1094.932251        0.682615
FIRE:   24 23:43:38    -1094.984375        0.692124
FIRE:   25 23:43:38    -1095.039429        0.608379
FIRE:   26 23:43:39    -1095.117920        0.559456
FIRE:   27 23:43:39    -1095.233521        0.770163
FIRE:   28 23:43:39    -1095.335449        1.570259
FIRE:   29 23:43:39    -1095.201050        2.796674
FIRE:   30 23:43:39    -1095.371094        1.327443
FIRE:   31 23:43:40    -1095.284790        3.256459
FIRE:   32 23:43:40    -1095.346069        2.567184
FIRE:   33 23:43:40    -1095.412109        0.936603
FIRE:   34 23:43:40    -1095.413330        1.026755
FIRE:   35 23:43:41    -1095.415527        0.951734
FIRE:   36 23:43:41    -1095.419556        0.803988
FIRE:   37 23:43:41    -1095.424438        0.590500
FIRE:   38 23:43:41    -1095.429199        0.447604
FIRE:   39 23:43:41    -1095.432739        0.401551
FIRE:   40 23:43:42    -1095.434937        0.355925
FIRE:   41 23:43:42    -1095.436279        0.479075
FIRE:   42 23:43:42    -1095.437988        0.634964
FIRE:   43 23:43:42    -1095.441162        0.676130
FIRE:   44 23:43:43    -1095.446533        0.573116
FIRE:   45 23:43:43    -1095.453247        0.315718
FIRE:   46 23:43:43    -1095.459351        0.259623
FIRE:   47 23:43:43    -1095.463623        0.373973
FIRE:   48 23:43:44    -1095.468262        0.491182
FIRE:   49 23:43:44    -1095.474976        0.315073
FIRE:   50 23:43:44    -1095.480591        0.124726
FIRE:   51 23:43:44    -1095.483521        0.441031
FIRE:   52 23:43:45    -1095.489624        0.338108
FIRE:   53 23:43:45    -1095.496704        0.270068
FIRE:   54 23:43:45    -1095.505737        0.415341
FIRE:   55 23:43:45    -1095.519531        0.243513
FIRE:   56 23:43:45    -1095.532104        0.305711
FIRE:   57 23:43:46    -1095.543091        0.422231
FIRE:   58 23:43:46    -1095.553711        0.276371
FIRE:   59 23:43:46    -1095.564087        0.220282
FIRE:   60 23:43:46    -1095.576660        0.151472
FIRE:   61 23:43:47    -1095.588745        0.145437
FIRE:   62 23:43:47    -1095.585693        1.049376
FIRE:   63 23:43:47    -1095.596069        0.328043
FIRE:   64 23:43:47    -1095.596680        0.234223
