2024-12-11 23:16:35,891 -   DEBUG - MD starts from No.-1 configuration in /home/energy/mahpe/Published_code/autocPaiNN/Example_data/NaMnPO4.traj
2024-12-11 23:16:36,152 -    INFO - Steps=         1 Epot=    -182.841 Ekin=       4.680 temperature= 1293.00 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,268 -    INFO - Steps=         2 Epot=    -182.838 Ekin=       4.677 temperature= 1292.37 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,377 -    INFO - Steps=         3 Epot=    -182.836 Ekin=       4.661 temperature= 1287.91 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,487 -    INFO - Steps=         4 Epot=    -182.835 Ekin=       4.652 temperature= 1285.26 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,599 -    INFO - Steps=         5 Epot=    -182.834 Ekin=       4.628 temperature= 1278.72 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,709 -    INFO - Steps=         6 Epot=    -182.834 Ekin=       4.624 temperature= 1277.69 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,823 -    INFO - Steps=         7 Epot=    -182.835 Ekin=       4.637 temperature= 1281.33 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,933 -    INFO - Steps=         8 Epot=    -182.836 Ekin=       4.602 temperature= 1271.61 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,046 -    INFO - Steps=         9 Epot=    -182.838 Ekin=       4.586 temperature= 1267.17 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,156 -    INFO - Steps=        10 Epot=    -182.839 Ekin=       4.576 temperature= 1264.37 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,249 -    INFO - Steps=        11 Epot=    -182.840 Ekin=       4.579 temperature= 1265.22 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
