2024-12-11 23:16:35,891 -   DEBUG - MD starts from No.-1 configuration in /home/energy/mahpe/Published_code/autocPaiNN/Example_data/NaNiPO4.traj
2024-12-11 23:16:36,167 -    INFO - Steps=         1 Epot=    -183.450 Ekin=       3.831 temperature= 1058.50 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,304 -    INFO - Steps=         2 Epot=    -183.450 Ekin=       3.824 temperature= 1056.63 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,437 -    INFO - Steps=         3 Epot=    -183.450 Ekin=       3.810 temperature= 1052.64 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,545 -    INFO - Steps=         4 Epot=    -183.450 Ekin=       3.810 temperature= 1052.63 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,654 -    INFO - Steps=         5 Epot=    -183.450 Ekin=       3.827 temperature= 1057.52 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,758 -    INFO - Steps=         6 Epot=    -183.451 Ekin=       3.835 temperature= 1059.64 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,868 -    INFO - Steps=         7 Epot=    -183.451 Ekin=       3.863 temperature= 1067.41 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:36,976 -    INFO - Steps=         8 Epot=    -183.451 Ekin=       3.884 temperature= 1073.05 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,088 -    INFO - Steps=         9 Epot=    -183.451 Ekin=       3.895 temperature= 1076.26 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,195 -    INFO - Steps=        10 Epot=    -183.450 Ekin=       3.854 temperature= 1064.79 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,301 -    INFO - Steps=        11 Epot=    -183.449 Ekin=       3.860 temperature= 1066.59 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,407 -    INFO - Steps=        12 Epot=    -183.449 Ekin=       3.832 temperature= 1058.77 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,506 -    INFO - Steps=        13 Epot=    -183.447 Ekin=       3.864 temperature= 1067.70 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,607 -    INFO - Steps=        14 Epot=    -183.446 Ekin=       3.818 temperature= 1054.84 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,716 -    INFO - Steps=        15 Epot=    -183.445 Ekin=       3.810 temperature= 1052.65 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,824 -    INFO - Steps=        16 Epot=    -183.444 Ekin=       3.792 temperature= 1047.71 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:37,931 -    INFO - Steps=        17 Epot=    -183.442 Ekin=       3.809 temperature= 1052.45 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,042 -    INFO - Steps=        18 Epot=    -183.441 Ekin=       3.812 temperature= 1053.20 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,150 -    INFO - Steps=        19 Epot=    -183.440 Ekin=       3.835 temperature= 1059.63 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,257 -    INFO - Steps=        20 Epot=    -183.439 Ekin=       3.834 temperature= 1059.28 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,361 -    INFO - Steps=        21 Epot=    -183.438 Ekin=       3.808 temperature= 1052.06 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,473 -    INFO - Steps=        22 Epot=    -183.437 Ekin=       3.783 temperature= 1045.17 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,585 -    INFO - Steps=        23 Epot=    -183.436 Ekin=       3.833 temperature= 1059.17 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,689 -    INFO - Steps=        24 Epot=    -183.436 Ekin=       3.862 temperature= 1066.98 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,797 -    INFO - Steps=        25 Epot=    -183.434 Ekin=       3.857 temperature= 1065.79 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,905 -    INFO - Steps=        26 Epot=    -183.433 Ekin=       3.859 temperature= 1066.10 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
