2024-12-12 00:55:21,701 -   DEBUG - MD starts from No.-1 configuration in /home/energy/mahpe/Published_code/autocPaiNN/Example_data/NaFePO4.traj
2024-12-12 00:55:21,972 -    INFO - Steps=         1 Epot=    -183.366 Ekin=       3.378 temperature=  933.24 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,090 -    INFO - Steps=         2 Epot=    -183.367 Ekin=       3.332 temperature=  920.57 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,213 -    INFO - Steps=         3 Epot=    -183.367 Ekin=       3.321 temperature=  917.64 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,329 -    INFO - Steps=         4 Epot=    -183.367 Ekin=       3.333 temperature=  921.01 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,457 -    INFO - Steps=         5 Epot=    -183.366 Ekin=       3.352 temperature=  926.04 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,597 -    INFO - Steps=         6 Epot=    -183.366 Ekin=       3.401 temperature=  939.81 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,740 -    INFO - Steps=         7 Epot=    -183.365 Ekin=       3.417 temperature=  944.22 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:22,881 -    INFO - Steps=         8 Epot=    -183.364 Ekin=       3.413 temperature=  943.01 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,018 -    INFO - Steps=         9 Epot=    -183.363 Ekin=       3.435 temperature=  948.97 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,158 -    INFO - Steps=        10 Epot=    -183.361 Ekin=       3.420 temperature=  944.87 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,299 -    INFO - Steps=        11 Epot=    -183.360 Ekin=       3.405 temperature=  940.70 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,440 -    INFO - Steps=        12 Epot=    -183.359 Ekin=       3.419 temperature=  944.66 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,582 -    INFO - Steps=        13 Epot=    -183.358 Ekin=       3.407 temperature=  941.44 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,721 -    INFO - Steps=        14 Epot=    -183.356 Ekin=       3.422 temperature=  945.37 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,864 -    INFO - Steps=        15 Epot=    -183.355 Ekin=       3.406 temperature=  940.97 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:23,997 -    INFO - Steps=        16 Epot=    -183.354 Ekin=       3.433 temperature=  948.60 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,152 -    INFO - Steps=        17 Epot=    -183.353 Ekin=       3.413 temperature=  943.13 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,294 -    INFO - Steps=        18 Epot=    -183.352 Ekin=       3.429 temperature=  947.38 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,435 -    INFO - Steps=        19 Epot=    -183.351 Ekin=       3.429 temperature=  947.44 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,578 -    INFO - Steps=        20 Epot=    -183.350 Ekin=       3.462 temperature=  956.47 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,716 -    INFO - Steps=        21 Epot=    -183.349 Ekin=       3.458 temperature=  955.53 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,852 -    INFO - Steps=        22 Epot=    -183.347 Ekin=       3.467 temperature=  957.87 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-12 00:55:24,990 -    INFO - Steps=        23 Epot=    -183.345 Ekin=       3.477 temperature=  960.79 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
