      Step     Time          Energy          fmax
FIRE:    0 23:42:11    -1093.580688        0.442562
FIRE:    1 23:42:11    -1093.591187        0.606812
FIRE:    2 23:42:11    -1093.618530        0.965178
FIRE:    3 23:42:12    -1093.687378        1.680119
FIRE:    4 23:42:12    -1093.883179        3.146415
FIRE:    5 23:42:12    -1094.339478        2.885396
FIRE:    6 23:42:12    -1094.611450        0.850971
FIRE:    7 23:42:13    -1094.630371        1.125691
FIRE:    8 23:42:13    -1094.637817        0.948214
FIRE:    9 23:42:13    -1094.648926        0.635601
FIRE:   10 23:42:13    -1094.659668        0.492592
FIRE:   11 23:42:14    -1094.668701        0.652540
FIRE:   12 23:42:14    -1094.678711        0.722212
FIRE:   13 23:42:14    -1094.691528        0.647187
FIRE:   14 23:42:14    -1094.705933        0.400383
FIRE:   15 23:42:15    -1094.717773        0.212527
FIRE:   16 23:42:15    -1094.721924        0.609392
FIRE:   17 23:42:15    -1094.728760        0.869418
FIRE:   18 23:42:16    -1094.750732        0.651031
FIRE:   19 23:42:16    -1094.779419        0.506313
FIRE:   20 23:42:16    -1094.808838        0.674542
FIRE:   21 23:42:16    -1094.854004        0.428227
FIRE:   22 23:42:17    -1094.889893        0.769355
FIRE:   23 23:42:17    -1094.939453        0.609015
FIRE:   24 23:42:17    -1094.987915        0.783773
FIRE:   25 23:42:17    -1095.041504        0.766177
FIRE:   26 23:42:18    -1095.116943        0.487691
FIRE:   27 23:42:18    -1095.222900        0.756759
FIRE:   28 23:42:18    -1095.347412        1.332420
FIRE:   29 23:42:18    -1095.233276        2.756454
FIRE:   30 23:42:19    -1095.386353        0.935059
FIRE:   31 23:42:19    -1095.294312        3.255233
FIRE:   32 23:42:19    -1095.354980        2.530733
FIRE:   33 23:42:19    -1095.418579        0.871260
FIRE:   34 23:42:19    -1095.417725        1.063325
FIRE:   35 23:42:20    -1095.420044        0.985797
FIRE:   36 23:42:20    -1095.424194        0.832967
FIRE:   37 23:42:20    -1095.429321        0.611924
FIRE:   38 23:42:20    -1095.434082        0.427223
FIRE:   39 23:42:21    -1095.437622        0.378508
FIRE:   40 23:42:21    -1095.439697        0.330583
FIRE:   41 23:42:21    -1095.440674        0.498379
FIRE:   42 23:42:21    -1095.442017        0.657488
FIRE:   43 23:42:22    -1095.444946        0.697563
FIRE:   44 23:42:22    -1095.449951        0.586918
FIRE:   45 23:42:22    -1095.456543        0.317764
FIRE:   46 23:42:22    -1095.462036        0.216743
FIRE:   47 23:42:22    -1095.465454        0.394425
FIRE:   48 23:42:23    -1095.469482        0.514588
FIRE:   49 23:42:23    -1095.475830        0.336275
FIRE:   50 23:42:23    -1095.481323        0.116663
FIRE:   51 23:42:23    -1095.484131        0.453521
FIRE:   52 23:42:24    -1095.490723        0.312814
FIRE:   53 23:42:24    -1095.498413        0.233877
FIRE:   54 23:42:24    -1095.507202        0.420584
FIRE:   55 23:42:24    -1095.520508        0.193634
FIRE:   56 23:42:25    -1095.532227        0.315064
FIRE:   57 23:42:25    -1095.542725        0.428000
FIRE:   58 23:42:25    -1095.553589        0.261157
FIRE:   59 23:42:25    -1095.564331        0.189613
FIRE:   60 23:42:26    -1095.576782        0.128816
FIRE:   61 23:42:26    -1095.588379        0.044862
      Step     Time          Energy          fmax
FIRE:    0 23:43:15    -1093.580688        0.442562
FIRE:    1 23:43:15    -1093.591187        0.606812
FIRE:    2 23:43:16    -1093.618530        0.965178
FIRE:    3 23:43:16    -1093.687378        1.680119
FIRE:    4 23:43:16    -1093.883179        3.146415
FIRE:    5 23:43:17    -1094.339478        2.885396
FIRE:    6 23:43:17    -1094.611450        0.850971
FIRE:    7 23:43:17    -1094.630371        1.125691
FIRE:    8 23:43:17    -1094.637817        0.948214
FIRE:    9 23:43:18    -1094.648926        0.635601
FIRE:   10 23:43:18    -1094.659668        0.492592
FIRE:   11 23:43:18    -1094.668701        0.652540
FIRE:   12 23:43:19    -1094.678711        0.722212
FIRE:   13 23:43:19    -1094.691528        0.647187
FIRE:   14 23:43:19    -1094.705933        0.400383
FIRE:   15 23:43:19    -1094.717773        0.212527
FIRE:   16 23:43:20    -1094.721924        0.609392
FIRE:   17 23:43:20    -1094.728760        0.869418
FIRE:   18 23:43:20    -1094.750732        0.651031
FIRE:   19 23:43:20    -1094.779419        0.506313
FIRE:   20 23:43:21    -1094.808838        0.674542
FIRE:   21 23:43:21    -1094.854004        0.428227
FIRE:   22 23:43:21    -1094.889893        0.769355
FIRE:   23 23:43:21    -1094.939453        0.609015
FIRE:   24 23:43:22    -1094.987915        0.783773
FIRE:   25 23:43:22    -1095.041504        0.766177
FIRE:   26 23:43:22    -1095.116943        0.487691
FIRE:   27 23:43:22    -1095.222900        0.756759
FIRE:   28 23:43:23    -1095.347412        1.332420
FIRE:   29 23:43:23    -1095.233276        2.756454
FIRE:   30 23:43:23    -1095.386353        0.935059
FIRE:   31 23:43:23    -1095.294312        3.255233
FIRE:   32 23:43:24    -1095.354980        2.530733
FIRE:   33 23:43:24    -1095.418579        0.871260
FIRE:   34 23:43:24    -1095.417725        1.063325
FIRE:   35 23:43:24    -1095.420044        0.985797
FIRE:   36 23:43:25    -1095.424194        0.832967
FIRE:   37 23:43:25    -1095.429321        0.611924
FIRE:   38 23:43:25    -1095.434082        0.427223
FIRE:   39 23:43:25    -1095.437622        0.378508
FIRE:   40 23:43:25    -1095.439697        0.330583
FIRE:   41 23:43:26    -1095.440674        0.498379
FIRE:   42 23:43:26    -1095.442017        0.657488
FIRE:   43 23:43:26    -1095.444946        0.697563
FIRE:   44 23:43:26    -1095.449951        0.586918
FIRE:   45 23:43:27    -1095.456543        0.317764
FIRE:   46 23:43:27    -1095.462036        0.216743
FIRE:   47 23:43:27    -1095.465454        0.394425
FIRE:   48 23:43:27    -1095.469482        0.514588
FIRE:   49 23:43:28    -1095.475830        0.336275
FIRE:   50 23:43:28    -1095.481323        0.116663
FIRE:   51 23:43:28    -1095.484131        0.453521
FIRE:   52 23:43:28    -1095.490723        0.312814
FIRE:   53 23:43:29    -1095.498413        0.233877
FIRE:   54 23:43:29    -1095.507202        0.420584
FIRE:   55 23:43:29    -1095.520508        0.193634
FIRE:   56 23:43:29    -1095.532227        0.315064
FIRE:   57 23:43:29    -1095.542725        0.428000
FIRE:   58 23:43:30    -1095.553589        0.261157
FIRE:   59 23:43:30    -1095.564331        0.189613
FIRE:   60 23:43:30    -1095.576782        0.128816
FIRE:   61 23:43:30    -1095.588379        0.044862
      Step     Time          Energy          fmax
FIRE:    0 23:44:28    -1093.580688        0.442562
FIRE:    1 23:44:28    -1093.591187        0.606812
FIRE:    2 23:44:28    -1093.618530        0.965178
FIRE:    3 23:44:29    -1093.687378        1.680119
FIRE:    4 23:44:29    -1093.883179        3.146415
FIRE:    5 23:44:29    -1094.339478        2.885396
FIRE:    6 23:44:30    -1094.611450        0.850971
FIRE:    7 23:44:30    -1094.630371        1.125691
FIRE:    8 23:44:30    -1094.637817        0.948214
FIRE:    9 23:44:30    -1094.648926        0.635601
FIRE:   10 23:44:31    -1094.659668        0.492592
FIRE:   11 23:44:31    -1094.668701        0.652540
FIRE:   12 23:44:31    -1094.678711        0.722212
FIRE:   13 23:44:31    -1094.691528        0.647187
FIRE:   14 23:44:32    -1094.705933        0.400383
FIRE:   15 23:44:32    -1094.717773        0.212527
FIRE:   16 23:44:32    -1094.721924        0.609392
FIRE:   17 23:44:33    -1094.728760        0.869418
FIRE:   18 23:44:33    -1094.750732        0.651031
FIRE:   19 23:44:33    -1094.779419        0.506313
FIRE:   20 23:44:33    -1094.808838        0.674542
FIRE:   21 23:44:34    -1094.854004        0.428227
FIRE:   22 23:44:34    -1094.889893        0.769355
FIRE:   23 23:44:34    -1094.939453        0.609015
FIRE:   24 23:44:34    -1094.987915        0.783773
FIRE:   25 23:44:35    -1095.041504        0.766177
FIRE:   26 23:44:35    -1095.116943        0.487691
FIRE:   27 23:44:35    -1095.222900        0.756759
FIRE:   28 23:44:35    -1095.347412        1.332420
FIRE:   29 23:44:36    -1095.233276        2.756454
FIRE:   30 23:44:36    -1095.386353        0.935059
FIRE:   31 23:44:36    -1095.294312        3.255233
FIRE:   32 23:44:37    -1095.354980        2.530733
FIRE:   33 23:44:37    -1095.418579        0.871260
FIRE:   34 23:44:37    -1095.417725        1.063325
FIRE:   35 23:44:38    -1095.420044        0.985797
FIRE:   36 23:44:38    -1095.424194        0.832967
FIRE:   37 23:44:38    -1095.429321        0.611924
FIRE:   38 23:44:38    -1095.434082        0.427223
FIRE:   39 23:44:39    -1095.437622        0.378508
FIRE:   40 23:44:39    -1095.439697        0.330583
FIRE:   41 23:44:39    -1095.440674        0.498379
FIRE:   42 23:44:39    -1095.442017        0.657488
FIRE:   43 23:44:39    -1095.444946        0.697563
FIRE:   44 23:44:40    -1095.449951        0.586918
FIRE:   45 23:44:40    -1095.456543        0.317764
FIRE:   46 23:44:40    -1095.462036        0.216743
FIRE:   47 23:44:40    -1095.465454        0.394425
FIRE:   48 23:44:41    -1095.469482        0.514588
FIRE:   49 23:44:41    -1095.475830        0.336275
FIRE:   50 23:44:41    -1095.481323        0.116663
FIRE:   51 23:44:41    -1095.484131        0.453521
FIRE:   52 23:44:42    -1095.490723        0.312814
FIRE:   53 23:44:42    -1095.498413        0.233877
FIRE:   54 23:44:42    -1095.507202        0.420584
FIRE:   55 23:44:42    -1095.520508        0.193634
FIRE:   56 23:44:43    -1095.532227        0.315064
FIRE:   57 23:44:43    -1095.542725        0.428000
FIRE:   58 23:44:43    -1095.553589        0.261157
FIRE:   59 23:44:43    -1095.564331        0.189613
FIRE:   60 23:44:43    -1095.576782        0.128816
FIRE:   61 23:44:44    -1095.588379        0.044862
      Step     Time          Energy          fmax
FIRE:    0 23:46:12    -1093.448853        2.002132
FIRE:    1 23:46:13    -1093.506104        0.551780
FIRE:    2 23:46:13    -1093.509155        0.607470
FIRE:    3 23:46:13    -1093.515625        0.713111
FIRE:    4 23:46:14    -1093.526245        0.851344
FIRE:    5 23:46:14    -1093.542725        0.970141
FIRE:    6 23:46:14    -1093.566406        0.977705
FIRE:    7 23:46:15    -1093.594604        0.707338
FIRE:    8 23:46:15    -1093.616333        0.234706
FIRE:    9 23:46:15    -1093.620728        1.016092
FIRE:   10 23:46:16    -1093.623657        1.746015
FIRE:   11 23:46:16    -1093.666260        1.396390
FIRE:   12 23:46:16    -1093.727295        0.584691
FIRE:   13 23:46:17    -1093.764648        1.304367
FIRE:   14 23:46:17    -1093.821655        1.241428
FIRE:   15 23:46:18    -1093.898560        0.977504
FIRE:   16 23:46:18    -1093.965942        1.215792
FIRE:   17 23:46:18    -1094.050659        0.910061
FIRE:   18 23:46:19    -1094.022705        3.232786
FIRE:   19 23:46:19    -1094.125732        0.802344
FIRE:   20 23:46:19    -1094.083252        1.874664
FIRE:   21 23:46:20    -1094.101562        1.534898
FIRE:   22 23:46:20    -1094.126221        0.887700
FIRE:   23 23:46:21    -1094.139404        0.177940
